timestamp,open,high,low,close,volume
2019-12-04 16:00:00,60.5700,60.5800,60.5300,60.5400,223828
2019-12-04 15:59:00,60.5650,60.5800,60.5600,60.5800,69759
2019-12-04 15:58:00,60.5750,60.5800,60.5500,60.5650,97150
2019-12-04 15:57:00,60.6150,60.6300,60.5700,60.5700,112066
2019-12-04 15:56:00,60.5850,60.6200,60.5800,60.6150,38977
2019-12-04 15:55:00,60.5950,60.5985,60.5600,60.5900,61258
2019-12-04 15:54:00,60.6150,60.6200,60.5900,60.5900,34248
2019-12-04 15:53:00,60.6000,60.6200,60.6000,60.6150,38793
2019-12-04 15:52:00,60.6200,60.6268,60.6000,60.6000,37514
2019-12-04 15:51:00,60.6100,60.6300,60.6000,60.6250,34932
2019-12-04 15:50:00,60.5850,60.6150,60.5850,60.6000,43921
2019-12-04 15:49:00,60.5700,60.5900,60.5600,60.5900,27623
2019-12-04 15:48:00,60.5600,60.5689,60.5400,60.5600,35464
2019-12-04 15:47:00,60.5700,60.5800,60.5650,60.5650,19458
2019-12-04 15:46:00,60.6000,60.6000,60.5700,60.5700,38942
2019-12-04 15:45:00,60.6050,60.6100,60.5900,60.6000,14514
2019-12-04 15:44:00,60.5850,60.6050,60.5800,60.6050,17466
2019-12-04 15:43:00,60.5700,60.5900,60.5650,60.5850,21305
2019-12-04 15:42:00,60.5700,60.5700,60.5600,60.5650,12363
2019-12-04 15:41:00,60.5350,60.5600,60.5350,60.5600,23561
2019-12-04 15:40:00,60.5400,60.5400,60.5300,60.5400,12053
2019-12-04 15:39:00,60.5400,60.5500,60.5300,60.5350,27367
2019-12-04 15:38:00,60.5350,60.5500,60.5300,60.5366,32983
2019-12-04 15:37:00,60.5450,60.5450,60.5300,60.5300,8485
2019-12-04 15:36:00,60.5400,60.5451,60.5300,60.5450,26533
2019-12-04 15:35:00,60.5250,60.5500,60.5250,60.5400,24864
2019-12-04 15:34:00,60.5150,60.5253,60.5000,60.5253,23228
2019-12-04 15:33:00,60.5150,60.5200,60.5100,60.5200,13715
2019-12-04 15:32:00,60.5300,60.5300,60.5150,60.5200,23702
2019-12-04 15:31:00,60.5400,60.5450,60.5250,60.5250,20919
2019-12-04 15:30:00,60.5450,60.5500,60.5300,60.5366,21436
2019-12-04 15:29:00,60.5400,60.5488,60.5400,60.5400,8175
2019-12-04 15:28:00,60.5550,60.5600,60.5400,60.5450,8690
2019-12-04 15:27:00,60.5400,60.5564,60.5400,60.5550,15036
2019-12-04 15:26:00,60.5800,60.5801,60.5500,60.5500,14799
2019-12-04 15:25:00,60.6000,60.6000,60.5800,60.5800,8996
2019-12-04 15:24:00,60.5900,60.6050,60.5850,60.6010,11302
2019-12-04 15:23:00,60.5600,60.5900,60.5600,60.5850,12377
2019-12-04 15:22:00,60.5400,60.5600,60.5327,60.5600,21010
2019-12-04 15:21:00,60.5600,60.5700,60.5400,60.5450,19606
2019-12-04 15:20:00,60.5750,60.5900,60.5610,60.5650,24864
2019-12-04 15:19:00,60.5610,60.5899,60.5610,60.5750,17605
2019-12-04 15:18:00,60.5600,60.5700,60.5550,60.5657,8353
2019-12-04 15:17:00,60.5650,60.5700,60.5500,60.5550,16365
2019-12-04 15:16:00,60.5700,60.5800,60.5600,60.5656,20238
2019-12-04 15:15:00,60.5600,60.5753,60.5550,60.5753,20291
2019-12-04 15:14:00,60.5917,60.5950,60.5600,60.5630,21063
2019-12-04 15:13:00,60.5950,60.5971,60.5900,60.5900,8838
2019-12-04 15:12:00,60.6050,60.6100,60.5900,60.5950,16187
